,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses,date
228,2020,1,1103,1.1.03.000,Tubérculos. raízes e legumes,0.528,7.81,7.81,,2020-01-01
229,2020,3,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6075,14.14,31.95,,2020-03-01
230,2020,4,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6928,12.82,48.88,,2020-04-01
231,2020,9,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6328,-0.38,20.32,,2020-09-01
232,2020,5,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7839,5.65,57.29,,2020-05-01
233,2020,6,1103,1.1.03.000,Tubérculos. raízes e legumes,0.8314,-4.72,49.87,,2020-06-01
234,2020,8,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6641,-4.49,20.77,,2020-08-01
235,2020,10,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6264,8.18,30.16,,2020-10-01
236,2020,7,1103,1.1.03.000,Tubérculos. raízes e legumes,0.79,-15.63,26.45,,2020-07-01
237,2020,11,1103,1.1.03.000,Tubérculos. raízes e legumes,0.6719,16.22,51.28,,2020-11-01
238,2020,12,1103,1.1.03.000,Tubérculos. raízes e legumes,0.7739,-3.01,46.72,46.72,2020-12-01
239,2020,2,1103,1.1.03.000,Tubérculos. raízes e legumes,0.568,7.22,15.6,,2020-02-01
240,2020,11,1103002,1.1.03.002,Batata-doce,0.0238,24.71,46.57,,2020-11-01
241,2020,2,1103002,1.1.03.002,Batata-doce,0.0216,6.7,11.68,,2020-02-01
242,2020,12,1103002,1.1.03.002,Batata-doce,0.0294,1.05,48.1,48.1,2020-12-01
243,2020,5,1103002,1.1.03.002,Batata-doce,0.0276,-4.0,28.48,,2020-05-01
244,2020,9,1103002,1.1.03.002,Batata-doce,0.0245,-2.35,16.76,,2020-09-01
245,2020,3,1103002,1.1.03.002,Batata-doce,0.023,7.98,20.59,,2020-03-01
246,2020,4,1103002,1.1.03.002,Batata-doce,0.0249,10.98,33.83,,2020-04-01
247,2020,7,1103002,1.1.03.002,Batata-doce,0.0265,-2.68,25.12,,2020-07-01
248,2020,8,1103002,1.1.03.002,Batata-doce,0.0257,-4.43,19.57,,2020-08-01
249,2020,10,1103002,1.1.03.002,Batata-doce,0.0238,0.66,17.53,,2020-10-01
250,2020,1,1103002,1.1.03.002,Batata-doce,0.0207,4.67,4.67,,2020-01-01
251,2020,6,1103002,1.1.03.002,Batata-doce,0.0266,0.06,28.56,,2020-06-01
252,2020,2,1103003,1.1.03.003,Batata-inglesa,0.1619,-3.65,6.97,,2020-02-01
253,2020,3,1103003,1.1.03.003,Batata-inglesa,0.1556,8.16,15.71,,2020-03-01
254,2020,10,1103003,1.1.03.003,Batata-inglesa,0.1482,17.01,20.25,,2020-10-01
255,2020,7,1103003,1.1.03.003,Batata-inglesa,0.2431,-24.79,25.2,,2020-07-01
256,2020,11,1103003,1.1.03.003,Batata-inglesa,0.172,29.65,55.9,,2020-11-01
257,2020,8,1103003,1.1.03.003,Batata-inglesa,0.1822,-12.4,9.67,,2020-08-01
258,2020,12,1103003,1.1.03.003,Batata-inglesa,0.221,7.29,67.27,67.27,2020-12-01
259,2020,1,1103003,1.1.03.003,Batata-inglesa,0.1462,11.02,11.02,,2020-01-01
260,2020,9,1103003,1.1.03.003,Batata-inglesa,0.1592,-6.3,2.77,,2020-09-01
261,2020,6,1103003,1.1.03.003,Batata-inglesa,0.2421,0.65,66.47,,2020-06-01
262,2020,5,1103003,1.1.03.003,Batata-inglesa,0.2072,16.39,65.39,,2020-05-01
263,2020,4,1103003,1.1.03.003,Batata-inglesa,0.1682,22.81,42.1,,2020-04-01
264,2020,3,1103004,1.1.03.004,Inhame,0.0018,-1.61,-6.11,,2020-03-01
265,2020,2,1103004,1.1.03.004,Inhame,0.0019,-6.12,-4.57,,2020-02-01
266,2020,5,1103004,1.1.03.004,Inhame,0.0017,-0.02,-6.59,,2020-05-01
267,2020,12,1103004,1.1.03.004,Inhame,0.0019,-4.03,-1.77,-1.77,2020-12-01
268,2020,10,1103004,1.1.03.004,Inhame,0.0018,4.61,1.56,,2020-10-01
269,2020,4,1103004,1.1.03.004,Inhame,0.0017,-0.49,-6.57,,2020-04-01
270,2020,9,1103004,1.1.03.004,Inhame,0.0018,1.17,-2.91,,2020-09-01
271,2020,6,1103004,1.1.03.004,Inhame,0.0017,-1.65,-8.13,,2020-06-01
272,2020,1,1103004,1.1.03.004,Inhame,0.0019,1.65,1.65,,2020-01-01
273,2020,11,1103004,1.1.03.004,Inhame,0.0019,0.77,2.35,,2020-11-01
274,2020,8,1103004,1.1.03.004,Inhame,0.0018,0.21,-4.04,,2020-08-01
275,2020,7,1103004,1.1.03.004,Inhame,0.0017,4.24,-4.24,,2020-07-01
